name,review
Rajrishi Dubey,"I recently visited the Decathlon store in Viviana Mall. While the space felt a bit congested, the products were well-organized and easy to find. The staff were exceptionally energetic and eager to assist with any questions or needs, which made the shopping experience pleasant overall. The store offers a wide range of sports and outdoor gear, making it a great place to find whatever you need. However, I would recommend avoiding visits on Sundays, as it tends to get very crowded. Overall, it was a nice experience shopping at this Decathlon outlet, and I would consider returning on a less busy day."
Neel Passey,"Great product selection. Very humble, well spoken and helpful staff. Excellent and competitive pricing. A great experience. One stop shop for sports & adventure clothing enthusiasts."
Deepika Gaddamwar,"Aniket Mane from the store was able to provide clear guidelines for the cycle for our daughter.

He assisted us on online booking helped with assemble details as well.

Approachable and found him customer friendly"
Shravani Kajrolkar,"I recently visited Decathlon in Viviana Mall, Thane, and had a great experience. Diksha guided me so well throughout my shopping. She was patient, helpful, and knowledgeable about the products. Really appreciate the excellent customer service. Highly recommended!"
Suprita Pradeep Naware,Very good service by samruddhi. Very helpful and polite and kind. Should always ask for her in decathalon viviana mall
chetan kannangar,"Visited Decathlon on the occasion of Dussehra 2024 for buying a cycle home trainer. Aniket Mane was amazing, he explain the product completely and give a demo of the same. He was handling multiple customers with great ease. Kudos to his customer delight skills."
Atul Pandey,"I had a great experience shopping at Decathlon Viviana! I was in a bit of a rush due to a flight later that evening, but Samruddhi made the entire process smooth and hassle-free. I was picking up football socks, shoes, and attire, and she was incredibly helpful, quick, and courteous throughout. Really appreciate her support and calm demeanor, it made a big difference during a stressful time. Thank you, Samruddhi!"
Monish Koyott,1 stop for all your sports requirement. Aniket Mane was of great help. Assisted me in getting one of the best mountain bikes from here. Would 100% recommend.
Santosh Shevade,"So much better than the GB road one. The shop is much better managed, cleaner and provides a welcome experience.
The range of cycles here was lesser but the staff was excellent....Mohammad Khan was super helpful.... bought Triban RC100FB"
Vijay Rao,Aniket Mane was very helpful and he patiently assisted us in selecting the right skates. Kudos to him
Deepak Thakker,"Good collection of all sports items and good varieties of thermal and other clothes,  etc.
Prices are also good"
Dinesh Tiwari,"Top notch experience from cycling Aniket.he detail me ,full specs about the entry level mountain bike.i think he is cyclist too.i purchased RR 540.he came to home to fix the cycles ,gear tune,brake rotor tune, handle bar adjustment,and hand brake lever setup .which provides me great ridding style ..thankyou Aniket.Big Fan of your cycling knowledge."
Sunil More,"I am Sunil ,I came to vivianadecathlon long back ago where Aniket decathlon assisted me for cycle ..I'm was very impressed by his his technicality in cycle and suggested me st120.werr I find the  best as per my use ...
I came again to buy pants ,I met him  again ,I requested him to suggest me a pant ,he asked me 3 question wer he came to know wat type of product is suitable for me.
For the 3rd time of visit in decathlon ,I need skates for my kid but the skates wer not available in store ..wer as  he told me ,,billed the product n will be delivered Tommorow..
Next day only I got the product ,wen I asked him for delivery charges he declined.
Such a humble guy ,even he gave his personal to me for any enquiry or any problems or issus in products..
I would like meet him again
Thank you so much Aniket decathlon
God bless"
amit khemnar,Pathetic. There was problem of upi due to some internet issue. So had ask them to wait for 5 to 10min. But they keep me standing after that and no response was given. Tshirt no 12 was non responsive
Rohit Singh,"Thankyou Aniket from decathlon.help us to buy cycle .we are confused between triban and rockrider,wer Aniket gave us both the models to try in store and also gave a full specification of cycle.after trying both the models .we are cleared that thrE triban 100 is suitable for us as Aniket told us..
Light weight cycle
Low maintenance
Alluminium frame
Thankyou Aniket decathlon"
Najid Sarkhot,"Skating department is awsum in service.
Aniket and hussein are always supportive with lots of knowledge and provide good understanding of each and every queries and product."
RustlingIdk,"The servicing of the cycle was done properly.. The staff, especially Aniket, the cycling department head, was very helpful and kind"
Rohan Advant,Bought a cycle for my 4 year old son. Very good experience. Excellent service by Aniket Mane. Very knowledgeable and helped us choose the right cycle.
Ambadas Bhore,"We were looking for a tent that could be set up quickly anywhere. Our use case was to enjoy rain by sitting in the tent on any site that we found suitable during our monsoon sojourn.
I shared my use case with Mangalesh Manjrekar at Decathlon. He explained all the available options and helped us select the right product. He also went above and beyond by training us on how to set up and pack the tent after use. His exceptional service made the entire process smooth and enjoyable.
Thank you, Mangalesh, for a great experience."
Jayesh Gawade,Brought cycle from aniket mane last December .Not only he guided me with product but after purchase also help me with his technical services.
