name,review,sentiment
Gaurav Bagmar,"Good hotel with nice ambience. Service is also very good and quick. All items are tasty. Average per person cost if you take one drink, 2 starters, 1 main course, 1 desert will be around 1000-1200 per person. But it's worth it. Outside area is very good for photography. Family crowd is also welcome. Recommended to all.",positive
Saili Singad,"The ambiance is so beautiful, totally loved the vibe.
Staff is courteous to understand what we like and suggest as per that ..
we loved the pasta and sizzler
The only problem was pizza was too small in size as per the standard of restaurant the pizza should have been different because honestly we get same pizza on street style food as well so nothing new or different.!.

Rest all amazing",positive
Mohd Ali,"We ordered of Hakka noodles and a cheese burst pizza. The Hakka noodles were rather mediocre, not particularly commendable. As for the cheese burst pizza, it was exceedingly simple and wholly lacking in flavour, as though it had been crafted by a schoolchild engaged in a casual pastime. The ambience, however, is most agreeable, providing ample opportunities for capturing delightful photographs. The prices, alas, are prohibitively high, ensuring that only a select few dare to venture into this establishment.",neutral
Aditya,"Great vegetarian continental food restaurant. Service is also good.

Sushi, Paneer Chilly Bao, Aioli pizza, Garlic Bread, Fries, Mock tails were great.

Thumbs down to Singapore Noodles, it was way too oily and 2nd is Waffles: Felt like eating hard biscuit.

Other than these 2 item everything was nice.",positive
Aaditya Asawa,"Good taste and pure veg restaurant.
Must Try: Cheese Cigar
Your stomach would be full if you order Tortellini Pasta, which is very much recommended. Along with this I tried their Nutella Milk Shake (3/5)",positive
Abhijit,"Fantastic experience. The restaurant serves delicious food. It is located near Naupada Police Station. It has great ambience and variety of food to choose. The staff is polite and helps you explore the dishes. The taste is equally amazing. It gives you and your family a complete experience. Definitely recommended.
Update, after some time is that it remains a great choice for the foodies. Make sure you go early in the evening as it gets crowded. Amazing as always with sumptuous food and dishes.",positive
Hardik Shah,"I love food here every time.

We were big group of 15 people, which allowed us to enjoy wide variety of dishes. Missed to click photos of most of the items:-)

Soup :  we opted for manchow &  TFT Special soup.  TFT was more of a combination of lemon coriander and spinach soup.

Starters:
Our usual Cheese Sigar.
Lebanese platter. Hummus was really yummy. Pita bread was dry though. Will try next time for sure.
Paneer Tika : Soft panner and balanced on spices.
Masala / Khichiaya papad. Would recommend to go for Khichiaya.

Main course:
Pink Cheese revlovil. Full marks on test here.
Korean rice - greavy was top notch.
Burmese khow suey - Usually we get this as soup but here it was part of the main course. Curry was very thick and less in quantity compared to the noodles we got.
Kali Handi dum biryani: it was avarage.

We ended 31st party with Jamun Shots and kids favourite freak Shake...",positive
Salil D. Pol,"Totally loved this place. Had a great time dining here with my family. They have a great variety of vegetarian options of multiple cuisines and hence parents got to try out a lot of new dishes. Their mocktails are just incredible! If you are planning for an outing with your family, this is the place to go!",positive
Mark Menezes,"This is a vegetarian restaurant near Naupada Police station, Thane. It's a multi-cuisine restaurant. The food quality is good. I tried the lemon coriander paneer which was good. Tomato Basil risotto was quite spicy, but was flavourful. Service is a bit slow. What really stood out was their mocktails. I tried "" Bali Beach "" - a mix of pineapple and peach juices mixed into a lemonade. It was really refreshing. The restaurant provides valet parking ( no tag given by the valet though - completely trust based )
Overall, it's a good restaurant.",positive
Gauri Kanade,"Went to this restaurant with a group of friends on a weekend.. Quite crowded and also expected parking issues, but there is a valet system for parking. Great ambience, good food.. Observed quite an interesting presentation of the food ordered. We tried the bao, the loaded nachos and totally loved the jamun shots here, however the mango juice didn't meet the expectations!",positive
Ancia A,The place has a great ambience and all the food we tried were great. This is a veg only restaurant. The only suggestion would be about the table placement. Table for 6 comes with a great window view and nice ceiling decors. However table for 3s are placed close to each other which invades privacy. The place has a huge demand among locals and hence arriving early would limit the waiting time.,positive
Kasam Shaikh,"Non Vegetarians if you love Veg too, this place is best to visit. You get, keema, bhuna, and many more awesome dishes purely Veg... Tried pizza and Angara, was spicy and tasty! Bit high with price but fine to have it occasionally.",positive
Rahul Dudia,"Please don't order roomali roti for parcel. They send half cook roomali roti.
Image attached for reference.",negative
Amit Jadhav,"Mind blowing ambience. The combination of flowers and graffiti is very impressive. So as the food. We had nachos, paneer malai, jamun shots, Mexican sizzler & hakka noodles. The quantity was decent. The taste and spices was super tasty and impressive. The staff were really experienced one. Very quick service. It was a slightly heavy to the pocket but comparing to the taste they deserve that extra bit. Parking is not available anywhere in nearby. Have to be very careful regarding that. The place has been well utilised. Super impressive! Cheers",positive
Sunita Deulkar,"We went for dinner here. Ambience is very good. Fusion food is available.. Perfect place for family dinner. We had ordered Cheese Cigar, Butter Paneer Garlic, Paneer chilli Sizzler, Triple Schezwan rice, four cheese pizza and Sizzling brownie. Food quality and quantity was superb. It was delicious. Service was quick too. Reach at 7-7.30 for dinner else you need to wait for table.",positive
